feature,importance_mean,importance_std
max_displacement,0.008836496341926275,0.0014374065159123348
first_gap_pos,0.01765642279056082,0.003977986395410938
inversions,0.04796010257523424,0.005104879128217558
mean_displacement,0.05513942558737835,0.006162955184861092
slack_gap2,0.15827942299761957,0.006108533301209371
num_fixed_suffix,0.18075774358366697,0.007520054438145833
plate_gap,0.19691725819642764,0.008486615443276052
slack_rand,0.20231846152561786,0.006904264693221936
h_rand,0.2493645389536737,0.010599645635280215
h_gap,0.28853251126316243,0.013020332398836718
h_gap2,0.30897031550818543,0.009339778144913281
bound,0.887407729496919,0.010921585890227436
slack_gap,1.2637962455755234,0.025044042371935332
