heuristic,seed,method,rmse_log10
gap,0,gbm_full,0.20622269628977138
gap,0,mlp_full,0.19857591497965235
gap,0,gbm_minimal,0.24124292462902097
gap,0,mlp_minimal,0.19935805651735353
gap,0,cdp1,0.3077005027122436
gap,0,kre,1.1718699124243763
gap,1,gbm_full,0.21580196196975907
gap,1,mlp_full,0.20129251509879378
gap,1,gbm_minimal,0.20600288378316065
gap,1,mlp_minimal,0.19713353167959144
gap,1,cdp1,0.2966956873693669
gap,1,kre,1.1276619926018565
gap,2,gbm_full,0.2039172736305557
gap,2,mlp_full,0.19654441907094874
gap,2,gbm_minimal,0.1925285588772829
gap,2,mlp_minimal,0.1915845854411537
gap,2,cdp1,0.3071507016036494
gap,2,kre,1.1424018900734265
gap,3,gbm_full,0.19332650537450427
gap,3,mlp_full,0.18307761028231295
gap,3,gbm_minimal,0.1838096857875048
gap,3,mlp_minimal,0.1764540453290503
gap,3,cdp1,0.28646403041968993
gap,3,kre,1.086138757047176
gap,4,gbm_full,0.1926158733353798
gap,4,mlp_full,0.1892059354174293
gap,4,gbm_minimal,0.18231608394024468
gap,4,mlp_minimal,0.18219169802896898
gap,4,cdp1,0.30141916012537795
gap,4,kre,1.1498667510164517
gap,5,gbm_full,0.18127463120253773
gap,5,mlp_full,0.1849069740309868
gap,5,gbm_minimal,0.1933637017989217
gap,5,mlp_minimal,0.1898141460216994
gap,5,cdp1,0.30343733303149645
gap,5,kre,1.0904718214356646
gap,6,gbm_full,0.18702981139691927
gap,6,mlp_full,0.19158208174169955
gap,6,gbm_minimal,0.19721647984342824
gap,6,mlp_minimal,0.18624218570444764
gap,6,cdp1,0.29809898685505715
gap,6,kre,1.0896707174806328
gap,7,gbm_full,0.20652063848798732
gap,7,mlp_full,0.20336053492574355
gap,7,gbm_minimal,0.21029816190587464
gap,7,mlp_minimal,0.2082712437590276
gap,7,cdp1,0.30959034965788523
gap,7,kre,1.0909640913147516
gap,8,gbm_full,0.20405805583714223
gap,8,mlp_full,0.20995601007555892
gap,8,gbm_minimal,0.21181029755579753
gap,8,mlp_minimal,0.19837998176423774
gap,8,cdp1,0.3011387850460249
gap,8,kre,1.1025692853699647
gap,9,gbm_full,0.19416453966948063
gap,9,mlp_full,0.19308331968905132
gap,9,gbm_minimal,0.19608888837601762
gap,9,mlp_minimal,0.19024225484292034
gap,9,cdp1,0.30894675465317134
gap,9,kre,1.1210810609775534
rand,0,gbm_full,0.2601030202287259
rand,0,mlp_full,0.24505388373028225
rand,0,gbm_minimal,0.5801558391799136
rand,0,mlp_minimal,0.5792048830313699
rand,0,cdp1,0.8341377557062893
rand,0,kre,1.7786050149444332
rand,1,gbm_full,0.26298572310274565
rand,1,mlp_full,0.2640514915316436
rand,1,gbm_minimal,0.5671335705596857
rand,1,mlp_minimal,0.5638300098589737
rand,1,cdp1,0.8429191461359351
rand,1,kre,1.7957793611956165
rand,2,gbm_full,0.27834159871624975
rand,2,mlp_full,0.26070572087417726
rand,2,gbm_minimal,0.5157569498402614
rand,2,mlp_minimal,0.5206045750558332
rand,2,cdp1,0.7917418178950879
rand,2,kre,1.7466339561855946
rand,3,gbm_full,0.2514743844166464
rand,3,mlp_full,0.2593526094667057
rand,3,gbm_minimal,0.5697573450525946
rand,3,mlp_minimal,0.5704417891082333
rand,3,cdp1,0.7827227788230922
rand,3,kre,1.6854575634675684
rand,4,gbm_full,0.27337400607274126
rand,4,mlp_full,0.25732646364450884
rand,4,gbm_minimal,0.6018922584132805
rand,4,mlp_minimal,0.6011172412694951
rand,4,cdp1,0.8539984453181231
rand,4,kre,1.8074259679171716
rand,5,gbm_full,0.2302477266599928
rand,5,mlp_full,0.2226799376394816
rand,5,gbm_minimal,0.5756699209239783
rand,5,mlp_minimal,0.5774235993525522
rand,5,cdp1,0.8592689726822699
rand,5,kre,1.8020995637695365
rand,6,gbm_full,0.26426784044354756
rand,6,mlp_full,0.24667169326285954
rand,6,gbm_minimal,0.5560269441367713
rand,6,mlp_minimal,0.5556751113756375
rand,6,cdp1,0.8005952081050628
rand,6,kre,1.7393813181455198
rand,7,gbm_full,0.27066845529089884
rand,7,mlp_full,0.27467783206208923
rand,7,gbm_minimal,0.6065827171086026
rand,7,mlp_minimal,0.6070443452391798
rand,7,cdp1,0.8212111260279067
rand,7,kre,1.7437244429424728
rand,8,gbm_full,0.27324216122918155
rand,8,mlp_full,0.26092111029791365
rand,8,gbm_minimal,0.6223110122140008
rand,8,mlp_minimal,0.6197032509609438
rand,8,cdp1,0.8502375964900353
rand,8,kre,1.7746966007670422
rand,9,gbm_full,0.27178635625889536
rand,9,mlp_full,0.26837911888504584
rand,9,gbm_minimal,0.5921484868060465
rand,9,mlp_minimal,0.591472125087213
rand,9,cdp1,0.8465396586392676
rand,9,kre,1.7814015533935792
